中国,#genre#
CCTV-1 综合,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv1
CCTV-2 财经,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv2
CCTV-3 综艺,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv3
CCTV-4 中文国际,http://smt.iktv.ddns-ip.net/Smart.php?id=Cctv4
CCTV-4 中文国际,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv4
CCTV-5 体育,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv5
CCTV-6 电影,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv6
CCTV-7 国防军事,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv7
CCTV-8 电视剧,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv8hd
CCTV-9 记录,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv9hd
CCTV-10 科教,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv10hd
CCTV-11 戏曲,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv11
CCTV-12 社会与法,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv12
CCTV-13 新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv13
CCTV-14 少儿,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv14
CCTV-15 音乐,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv15
CCTV-16 奥林匹克,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv16
CCTV-17 农业农村,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv17
CCTV-5+ 体育赛事,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv5plus
湖南卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=hunan_twn
浙江卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=zhejiang_twn
江苏卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=jiangsu_twn
东方卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=dongfangweishi_twn
北京卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=beijing
深圳卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=shenzhen
广东卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=guangdongweishi_twn
大湾区卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=nanfang_twn
珠江台,http://smt.iktv.ddns-ip.net/Smart.php?id=zhujiang
东南卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=fujian
广西卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=guangxi
湖北卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=hubei
四川卫视,http://smt.iktv.ddns-ip.net/Smart.php?id=sichuan_twn
CGTN,http://smt.iktv.ddns-ip.net/Smart.php?id=CGTN

香港,#genre#
凤凰资讯台 (198),http://198.16.100.186:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
